Age,City,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Contact form submission (Goal 1 Conversion Rate),Contact form submission (Goal 1 Completions),Contact form submission (Goal 1 Value)
25-34,London,747,66.40%,496,59.30%,1.86,00:01:44,2.81%,21,US$0.00
35-44,London,419,68.97%,289,53.46%,1.96,00:02:01,2.86%,12,US$0.00
25-34,Croydon,294,57.82%,170,46.94%,2.26,00:03:20,4.76%,14,US$0.00
35-44,Croydon,198,63.13%,125,42.93%,2.3,00:02:41,3.03%,6,US$0.00
45-54,London,164,70.73%,116,53.66%,1.92,00:02:16,1.22%,2,US$0.00
18-24,London,152,75.00%,114,52.63%,2.13,00:02:50,5.26%,8,US$0.00
18-24,Croydon,84,71.43%,60,41.67%,2.17,00:01:44,3.57%,3,US$0.00
45-54,Croydon,80,65.00%,52,48.75%,2.06,00:02:51,1.25%,1,US$0.00
55-64,London,36,77.78%,28,47.22%,2.33,00:01:32,0.00%,0,US$0.00
55-64,Croydon,30,73.33%,22,50.00%,1.7,00:01:04,3.33%,1,US$0.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
