Report For View (Profile): ,All Web Site Data
,
These results do not contain sampled data.,
,
These query parameters were used:,
max-results,1000
dimensions,ga:pagePath
start-date,01/01/2017
start-index,1
ids,ga:123303369
metrics,ga:sessions
end-date,04/30/2017
,
ga:pagePath,ga:sessions
'/,5925
'/404,0
'/?_hsenc=p2ANqtz--3SZ9_TxAeV_6dUflCeBmtEy9p5-kx7gJidd5Ibv-WOsLnzj_uCiZtdhRikZqTRif43CkxFcza6g657KSMlorVQiMBEg&_hsmi=45145424,1
'/?_hsenc=p2ANqtz--5qSlXatRwmauQbFfrahRUIfDCf0Sr03obAlY44VJRH5EId-A3BprJhTJXbEJ4KaVk0DPxxpp6r6sXB9RVDtgZeDJXeQ&_hsmi=45155107,1
'/?_hsenc=p2ANqtz--7jiNooHo7FlMd6hWQJ9lQ4YUTCEpBhXLKmoZXZwT8ceD_LFsoPxX3lxNtufY9-q6EQvsyGq0nstD-mq_LHIX3sUSUirBYOEP3ZIhOQ1zQkts8s2Y&_hsmi=45145424,1
'/?_hsenc=p2ANqtz-8cXEz7dOC7R8Rn0Z1ursKJbEJXbIM9-J_DmmhjhMfNNtV-x7SIG0PTSiax05Wb5NQQs5lXV8J7VXQLkLFMROPILH01fw&_hsmi=45155107,1
'/?_hsenc=p2ANqtz-8v6U0mczdHFIUhMyXIDy3wUfa-ZUxjJnQpdswsm8xGtqURMrq6SsUZDJ2Pd6JY9RHOrME0FHf2BZQX_GbQisqcaifxHg&_hsmi=45155107,1
'/?_hsenc=p2ANqtz-9L_dXES2vJOjXvDV1KF1GweVEyHvneXaMmu_-a73CHsTcA8sBZ4nfsMSJZgE4BRwvWHdW3kCGFTordfdwC-_7cRgJbsQ&_hsmi=45145424,1
'/?_hsenc=p2ANqtz-9MN7HnoJ9kpuvsMGtK1ocWm95ICOHZYyOj8Y3vGUdV_ZqlQEgCQD9acCrN2_Ynz3dKDWr6kFJ0r9fYlxjyZCqr95UmLe0x5RBJKnbRobUgIsOz_4Y&_hsmi=42202727,1
'/?_hsenc=p2ANqtz-_McBb_ag9eyaYD3mJjDG7G_uB3uhgGcsBxi15N7Dkx2CB6Q4EicvyM4qxz_QhoX49gt27HZU9461DeUyoMURHz597MYA&_hsmi=42202727,1
'/?_hsenc=p2ANqtz-_ORc__Ui5VKSGvLO72LiNTFW98hg-mQlkIsltDFF4bZnKtFg4qvG21fhsL8zvY5rcQaRGke58VTsOsZTHhcAw7YWQMDvVnC8flaNVmXtZ3Pt9_sRI&_hsmi=45155107,1
'/?_hsenc=p2ANqtz-_PMnaFvC1MTCPb_RghCCNcPyb6VHPUfs1AGacdBEc6k4WIkLbn_u24M5CG820anvWE4-jQa-2c2IEUNpl9Xqln0NruPA&_hsmi=42202727,1
'/?f=,0
'/BYTE,5
'/CoffeeAwards,13
'/T,0
'/TMRW_BLOG.PHP,0
'/TMRW_Blog.php,0
'/TMRW_Byte_Cafe,0
'/TMRW_Byte_Cafe.php,270
'/TMRW_Byte_Cafe.php Croydon,1
'/TMRW_FAQs.php,129
'/TMRW_Get_in_touch,1
'/TMRW_Get_in_touch.php,4
'/TMRW_Images/,0
'/TMRW_Images/TMRW_Gallery_Images/TMRW_Offices/private-offices_in_coworking_space_tmrw_croydon_007.jpg,1
'/TMRW_Images/TMRW_Gallery_Images/TMRW_Offices/private_office_in-coworking_space_TMRW_croydon_004.jpg,2
'/TMRW_Images/TMRW_Gallery_Images/TMRW_Shared_Spaces/shared_space_in_coworking_space_tmrw_croydon_004.jpg,0
'/TMRW_Images/TMRW_Gallery_Images/TMRW_Shared_Spaces/thumbs/shared_space_in_coworking_space_tmrw_croydon_0001.jpg,0
'/TMRW_blog.php,0
'/TMRW_subscribe.php,2
'/TMRW_the_team.php,140
'/TMRW_trainstrike_form,0
'/TMRW_trainstrike_form.php,3
'/TMRWpeople1.php,2
'/WeWork/Guardian1.jpg,1
'/apage,1
'/api,0
'/api/v1/page/html?roomHash=611fc30b6efe07edea8c301d0590d6eef9bd2c0f6feffa7f932bceb75c2d8e98&variation=A&responsiveMode=null,3
'/coffeawards,0
'/coffeawrds,1
'/coffee,1
'/coffeeaward,1
'/coffeeawards,0
'/coffeeawards.php,2
'/coffeeswards,1
'/config.php,0
'/cro,4
'/en_us/article/google-wins-legal-battle-against-pro-trump-spammer-over-the-letter-g,1
'/f,1
'/f?_hsenc=p2ANqtz--EaTY5uMaCCENlHdZrqjWU87gsqIjB931oqY63YO16lzxdVOsHWdh9vwDC4oKLDbjgef1oqp7P7oiiU9mztVv9ZIQ06DeFoE83DnzAeng8ryrEvV0&_hsmi=42202779,1
