# ----------------------------------------
# All Web Site Data
# Channels
# 20161201-20170416
# ----------------------------------------

Keyword,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Contact form submission (Goal 1 Conversion Rate),Contact form submission (Goal 1 Completions),Contact form submission (Goal 1 Value)
(not provided),"4,177",68.76%,"2,872",51.78%,2.07,00:02:10,2.03%,85,US$0.00
website buttons sharebutton.to,28,100.00%,28,3.57%,2.89,00:00:00,0.00%,0,US$0.00
tmrw croydon,26,65.38%,17,53.85%,1.73,00:00:52,0.00%,0,US$0.00
share buttons sharebutton.to,16,100.00%,16,6.25%,2.81,00:00:00,0.00%,0,US$0.00
tmrw,11,100.00%,11,90.91%,1.18,00:00:15,0.00%,0,US$0.00
add share buttons sharebutton.to,10,100.00%,10,0.00%,3.00,00:00:00,0.00%,0,US$0.00
tomorrow croydon,10,80.00%,8,60.00%,1.80,00:00:28,0.00%,0,US$0.00
social share buttons sharebutton.to,9,100.00%,9,11.11%,2.78,00:00:00,0.00%,0,US$0.00
social sharing buttons sharebutton.to,9,100.00%,9,0.00%,3.00,00:00:00,0.00%,0,US$0.00
tmrw tech hub,9,55.56%,5,44.44%,2.44,00:01:33,0.00%,0,US$0.00
,"4,397",69.48%,"3,055",50.92%,2.08,00:02:05,1.93%,85,US$0.00

Day Index,Sessions
01/12/2016,47
02/12/2016,23
03/12/2016,8
04/12/2016,9
05/12/2016,27
06/12/2016,24
07/12/2016,28
08/12/2016,22
09/12/2016,30
10/12/2016,24
11/12/2016,17
12/12/2016,26
13/12/2016,31
14/12/2016,43
15/12/2016,35
16/12/2016,25
17/12/2016,20
18/12/2016,5
19/12/2016,21
20/12/2016,19
21/12/2016,23
22/12/2016,24
23/12/2016,23
24/12/2016,4
25/12/2016,23
26/12/2016,8
27/12/2016,12
28/12/2016,17
29/12/2016,20
30/12/2016,13
31/12/2016,9
01/01/2017,12
02/01/2017,14
03/01/2017,28
04/01/2017,41
05/01/2017,37
06/01/2017,35
07/01/2017,11
08/01/2017,22
09/01/2017,44
10/01/2017,56
11/01/2017,54
12/01/2017,38
13/01/2017,42
14/01/2017,34
15/01/2017,26
16/01/2017,57
17/01/2017,35
18/01/2017,44
19/01/2017,39
20/01/2017,53
21/01/2017,22
22/01/2017,21
23/01/2017,49
24/01/2017,65
25/01/2017,49
26/01/2017,77
27/01/2017,45
28/01/2017,25
29/01/2017,19
30/01/2017,59
31/01/2017,46
01/02/2017,29
02/02/2017,35
03/02/2017,36
04/02/2017,23
05/02/2017,24
06/02/2017,55
07/02/2017,52
08/02/2017,47
09/02/2017,57
10/02/2017,33
11/02/2017,17
12/02/2017,11
13/02/2017,48
14/02/2017,33
15/02/2017,33
16/02/2017,43
17/02/2017,24
18/02/2017,18
19/02/2017,19
20/02/2017,52
21/02/2017,51
22/02/2017,38
23/02/2017,26
24/02/2017,28
25/02/2017,11
26/02/2017,20
27/02/2017,42
28/02/2017,46
01/03/2017,37
02/03/2017,32
03/03/2017,37
04/03/2017,18
05/03/2017,16
06/03/2017,42
07/03/2017,43
08/03/2017,44
09/03/2017,38
10/03/2017,51
11/03/2017,17
12/03/2017,20
13/03/2017,34
14/03/2017,68
15/03/2017,50
16/03/2017,33
17/03/2017,42
18/03/2017,16
19/03/2017,19
20/03/2017,48
21/03/2017,39
22/03/2017,40
23/03/2017,44
24/03/2017,33
25/03/2017,23
26/03/2017,16
27/03/2017,40
28/03/2017,28
29/03/2017,36
30/03/2017,49
31/03/2017,34
01/04/2017,14
02/04/2017,25
03/04/2017,45
04/04/2017,53
05/04/2017,41
06/04/2017,37
07/04/2017,49
08/04/2017,34
09/04/2017,10
10/04/2017,31
11/04/2017,48
12/04/2017,29
13/04/2017,41
14/04/2017,21
15/04/2017,10
16/04/2017,12
,"4,397"
