# ----------------------------------------
# All Web Site Data
# New vs Returning
# 20161201-20170416
# ----------------------------------------

User Type,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Contact form submission (Goal 1 Conversion Rate),Contact form submission (Goal 1 Completions),Contact form submission (Goal 1 Value)
New Visitor,"5,232",100.00%,"5,232",53.10%,2.05,00:01:56,1.61%,84,US$0.00
Returning Visitor,"2,147",0.00%,0,59.99%,1.96,00:02:41,1.63%,35,US$0.00
,"7,379",70.90%,"5,232",55.10%,2.03,00:02:09,1.61%,119,US$0.00

Day Index,Sessions
01/12/2016,67
02/12/2016,57
03/12/2016,15
04/12/2016,21
05/12/2016,54
06/12/2016,59
07/12/2016,54
08/12/2016,44
09/12/2016,52
10/12/2016,36
11/12/2016,32
12/12/2016,44
13/12/2016,54
14/12/2016,64
15/12/2016,61
16/12/2016,34
17/12/2016,25
18/12/2016,19
19/12/2016,40
20/12/2016,57
21/12/2016,36
22/12/2016,33
23/12/2016,35
24/12/2016,8
25/12/2016,28
26/12/2016,10
27/12/2016,20
28/12/2016,23
29/12/2016,28
30/12/2016,23
31/12/2016,19
01/01/2017,23
02/01/2017,23
03/01/2017,48
04/01/2017,74
05/01/2017,55
06/01/2017,62
07/01/2017,66
08/01/2017,116
09/01/2017,138
10/01/2017,108
11/01/2017,84
12/01/2017,72
13/01/2017,59
14/01/2017,48
15/01/2017,40
16/01/2017,95
17/01/2017,68
18/01/2017,91
19/01/2017,84
20/01/2017,96
21/01/2017,51
22/01/2017,37
23/01/2017,82
24/01/2017,104
25/01/2017,84
26/01/2017,129
27/01/2017,81
28/01/2017,41
29/01/2017,27
30/01/2017,85
31/01/2017,73
01/02/2017,64
02/02/2017,59
03/02/2017,50
04/02/2017,47
05/02/2017,44
06/02/2017,86
07/02/2017,87
08/02/2017,86
09/02/2017,87
10/02/2017,54
11/02/2017,36
12/02/2017,25
13/02/2017,70
14/02/2017,54
15/02/2017,60
16/02/2017,75
17/02/2017,38
18/02/2017,33
19/02/2017,26
20/02/2017,69
21/02/2017,79
22/02/2017,56
23/02/2017,37
24/02/2017,46
25/02/2017,19
26/02/2017,27
27/02/2017,58
28/02/2017,70
01/03/2017,61
02/03/2017,51
03/03/2017,54
04/03/2017,27
05/03/2017,27
06/03/2017,70
07/03/2017,61
08/03/2017,64
09/03/2017,52
10/03/2017,66
11/03/2017,22
12/03/2017,24
13/03/2017,63
14/03/2017,94
15/03/2017,77
16/03/2017,51
17/03/2017,68
18/03/2017,22
19/03/2017,29
20/03/2017,76
21/03/2017,55
22/03/2017,68
23/03/2017,70
24/03/2017,57
25/03/2017,34
26/03/2017,27
27/03/2017,77
28/03/2017,54
29/03/2017,64
30/03/2017,87
31/03/2017,44
01/04/2017,26
02/04/2017,37
03/04/2017,69
04/04/2017,76
05/04/2017,60
06/04/2017,53
07/04/2017,69
08/04/2017,51
09/04/2017,18
10/04/2017,49
11/04/2017,67
12/04/2017,55
13/04/2017,52
14/04/2017,27
15/04/2017,15
16/04/2017,21
,"7,379"
